Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 
Dominican Republic,50.7,51.8,52.72,52.56,52.51,68.44,52.44,53.24,75.32,64.71,46.3,,,,,,,,,,,,,,38.42,38.16,41.44,40.52,40.69,40.78,44.46,46.04,46.04,46.31,38.76,40.94,42.03,45.44,46.04,32.92,36.74,40.98,45.11,44.24,46.56,35.56,36.56,38.14,39.44,36.15,34.6,41.05,32.39,31.08,37.83,35.06,31.86,30.64,32.99,42.11,44.21,48.97,50.96,51.82,52.39,56.27,6760.13,6973.54,7295.06,7226.72,7506.73,8356.01,9274.9,10098.7,10491.62,10539.4,11410.35,11869.12,11900.49,12482.16,13475.01,14740.83,16109.86,16735.36,18137.05,19191.58,17936.73
Ecuador,58.42,56.19,58.27,57.77,61.09,69.34,60.55,58.54,66.58,57.42,51,,,,,,,,,,,,,,44.53,44.42,43.05,43.44,45.72,44.35,46.58,53.55,53.41,50.46,51.05,48.62,47.94,52.55,53.55,37.58,38.97,44.68,41.55,45.63,45.47,44.4,43.4,34.96,44.91,44.4,44.07,47.01,37.48,34.65,35.9,34.72,41.07,34.4,39.34,50.47,53.08,49.8,44.01,48.55,49.71,48.54,5838.9,6094.35,6332.19,6513.3,7117.17,7598.95,8037.89,8294.64,8845.55,8818.68,9090.31,9857.52,10311.4,11153.69,11713.18,11060.29,11034.27,11617.91,11839.34,11851.47,10896.43
Egypt,48.34,52.19,53.67,53.77,54.92,62,55.18,61.11,66.45,61.21,43.3,,,,,,,,,,,,,,39.13,37.93,38.21,38.72,38.51,38.61,38.94,40.06,40.37,36.25,33.22,32.88,34.52,33.9,40.06,32.66,29.99,37.3,32.19,38.83,41.48,41.49,40.14,42.8,48.74,30.76,32.67,28.65,32.77,28,36.59,35.13,38.97,36.14,40.26,47.9,48.45,48.15,56.13,51.09,50.89,50.41,5838.9,6094.35,6332.19,6513.3,7117.17,7598.95,8037.89,8294.64,8845.55,8818.68,9090.31,9857.52,10311.4,11153.69,11713.18,11060.29,11034.27,11617.91,11839.34,11851.47,10896.43
El Salvador,50.72,51.25,51.87,52.2,52.49,69.07,52.08,43.79,68.07,53.91,43.1,,,,,,,,,,,,,,39.85,39.07,39.84,40.49,39.99,40.23,44.73,40.88,41.03,40.33,35.29,39.62,36.48,40.74,40.88,51.31,49.97,50.99,47.62,52.68,61.06,36.35,35.1,52.26,48.41,34.62,38.58,43.03,27.75,24.96,31.72,29.4,27.26,24.78,26.25,41.53,42.94,42.33,50.45,45.99,48.63,52.57,4447.65,4554.85,4672.35,4807.71,4956.55,5224.75,5591.44,5823.17,6063.27,5956.87,6127.08,6465.81,6541.22,6877.15,7233.19,7597.69,8038.63,8454.06,8820.84,9168.05,8498.97
Eritrea,34.83,35.7,36.27,37.36,38.02,54.63,38.39,25.76,36.73,39.34,30.4,,,,,,,,,,,,,,32.3,32.96,32.7,35.08,33.94,34.24,35.86,36.67,35.3,30.7,33.52,33.79,35.17,38.42,36.67,44.18,49.45,50.48,57.79,53.39,57.65,27.3,28.27,46.97,32.45,34,34.84,33.62,18.2,22.03,19.81,18.66,16.27,14.49,17,38.01,35.01,35.35,37.51,32.26,33.3,32.6,1528.58,1640,1642.46,1553.46,1547.72,1575.14,1556.66,1578.9,1420.74,1459.83,1485.2,1625.51,,,,,,,,,
Estonia,55.62,56.3,55.68,57.15,56.39,63.8,56.09,74.66,88.59,64.31,65.3,49.2,51.5,51.3,52.7,53,52.45,45.52,51.58,47.24,46.04,52.02,44.37,48.05,49.39,49.71,53.56,53.73,54.42,54.92,59.38,55.71,56.51,65.38,63.31,60.5,63.32,63.84,55.71,33.63,37.92,42.21,40.75,46.55,49.85,48.92,48.54,43.07,46.24,49.79,51.87,59.4,51.4,48.17,51.89,52.86,53.82,50.35,55.81,53.08,61.71,62.61,62.63,60.84,62.52,68.02,9437.81,10326.33,11670.37,13123.84,14522.47,16624.91,19307.45,22164.75,22830.09,20608.9,21815.02,24780.98,26190.55,27642.58,29135.71,29389.26,31577.07,33856.18,36326.8,38819.34,38394.92
Ethiopia,51.57,51.88,52.68,53.77,52.5,43.14,52.71,39.43,45.83,44.78,34.4,,,,,,,,,,,,,,41.78,41.84,43.23,45.08,46.79,46.72,47.02,49.98,49.68,47.88,50.89,53.46,54.5,51.73,49.98,50.53,59.07,60.73,64.36,64.36,69.66,34.96,36.55,49.55,53.66,39.16,39.81,40.05,26.31,24.19,25.42,26.31,25.68,23.29,23.52,47.47,48.25,46.19,47.26,51.26,51.66,50.15,482.88,519.27,520.34,503.97,571.4,640.66,711.59,792.35,870.72,928.63,1028.32,1134.78,1213.6,1283.57,1513.7,1657.34,1878.81,2021.56,2154.02,2315.35,2422.96
Finland,62.22,61.77,61.48,62.61,64.66,74.74,64.44,75.72,90.68,78.64,78.9,49.1,46.1,49.5,55.1,53.9,56.58,56.57,56.76,58.27,56.28,66.55,62.61,63.25,53.63,54.4,56.18,57.37,58.74,59.47,60.4,58.75,59.93,66.25,60.77,61.39,62.32,60.54,58.75,44.16,41.41,51.46,53.38,55.6,55.28,60.01,58.39,41.87,48.99,56.95,58.78,61.57,58.55,56.87,64.17,63.88,63.87,59.34,64.35,47.93,52.63,49.04,53.67,56.32,61.3,60.27,26796.36,27807.71,28605.12,29021.57,31175.88,32051.79,34409.03,37792.41,40083.7,38000.25,38986.22,40916.84,40873.1,41493.14,41757.4,42497.7,44934.45,47570.13,49755.14,51556.53,51089.79
France,62.3,66.74,67.07,68.25,68.72,78.22,69,71.05,88.2,83.95,80,56.8,62.2,63.5,64.6,66.3,64.74,65.9,64.11,65.97,66.17,59.8,59.3,57.9,50.33,50.4,51.78,52.88,52.4,51.95,55.52,51.57,52.23,56.3,50.96,45.2,46.4,48.83,51.57,36.89,42.74,49.26,53.25,53.09,56.73,51.75,53.81,40.74,32.43,51.2,51.93,55.61,56.92,54.46,56.37,57.99,58.29,54.61,59.7,51.26,54.63,49.59,53.24,55.09,53.74,56.72,26101.97,27501.93,28523.89,28143.64,29036.39,30498.58,32425.12,34079.93,35095.27,34703.6,35930.31,37440.63,37679.12,39523.86,40144.03,40850,42924.61,44577.06,46569.02,49377.13,46226.95
Gabon,49.99,56.32,57.14,56.45,55.42,56.44,57.91,46.6,67.37,45.05,45.8,,,,,,,,,,,,,,40.72,41.85,43.35,43.22,43.59,43.16,43.9,55.03,52.6,54.5,57.14,58.25,57.95,60.05,55.03,43.15,52.34,53.13,38.5,57.06,55.12,33.08,32.49,50.05,46.02,35.79,37.06,40.37,25.7,30.39,34.43,21.56,26.12,23.79,21.88,50.23,50.62,42.7,50.11,40.75,39.94,42.06,13852.35,14117.7,13968.82,14199.31,14315.11,14755.37,14366.19,15187.92,14517.85,14177.17,14837.02,15638.75,15356.24,15114.38,15370.97,14699.54,14286.19,15006.84,15098.45,15582.31,15190.64
Georgia,53.63,55.95,56.25,56.28,57.34,63.64,56.84,47.23,64.96,55.69,41.3,,,,,,,,,,,,,,41.89,43.98,47.08,47.77,49.88,48.83,51.23,42.83,43.72,51.87,49.66,50.8,47.16,52.59,42.83,38.98,43.43,42.5,55.31,45.76,49.6,37.12,39.16,29.91,39.47,44.33,47.02,47.38,39.5,41.46,41.97,42.72,51.95,46.57,47.26,52.66,56.59,56.18,57.79,56.88,57.62,59.33,3104.52,3377.05,3650.86,4157.88,4545.29,5169.06,5860.36,6810.19,7132.21,6986,7564.06,8360.3,9826.05,10611.77,11575.55,12089.17,12858.48,13589.71,14595.63,15623.15,14863.02
Germany,66.8,66.91,65.98,66.37,66.68,73.22,66.91,80.47,84.26,78.37,77.2,64.5,65.3,65.3,67,67.2,67.54,61.9,59.6,58.39,56.58,56.58,55.18,55.78,51.97,52.82,52.06,53.45,53.84,53.52,54.57,40.8,42.65,39.85,37.16,35.73,36.37,36.86,40.8,36.29,35.37,46.58,36.08,50.07,52.68,57.27,59.13,46.14,41.5,57.36,56.42,56.3,64.59,61.83,63.74,64.22,65.15,60.63,60.44,59.07,64.22,60.68,62.7,61.74,64.1,66.58,27210.87,28380.81,29178.64,29877.33,31307.86,31794.1,34114.62,36243.46,37802.39,36842.92,38982.43,42541.53,43359.61,44993.89,47011.55,47609.78,50579.68,52952.88,54954.85,55891.2,53694.35
Ghana,44.98,42.61,46.55,45.95,47.04,51.33,47.5,32.07,58.89,49.66,27.6,,,,,,,,,,,,,,43.41,42.47,43.95,44.48,42.97,42.92,48.49,51.23,50.09,46.8,53.51,49.13,48.94,55.62,51.23,41.48,52.01,56.1,42.41,57.69,63.81,36.97,38.45,46.67,46.29,36.45,36.44,40.64,35.24,32.31,36.88,34.45,31.53,25.24,27.26,53.12,50.01,43.91,40.47,40.07,46.28,55.1,1771.54,1837.25,1903.15,1989.77,2104.81,2241.29,2394.93,2500.8,2711.88,2792.97,2973.83,3379.48,3781.87,5294.82,5256.67,5005.02,4844.66,4983.69,5302.2,5625.1,5596.31
Greece,55.8,56.91,58.28,59,59.61,60.87,60.04,73.28,85.81,73.6,69.1,46.8,44.7,46,52.4,50.3,52.04,51.5,55.89,55.06,58.29,47.86,50.86,52.59,42.79,42.41,45.2,46.92,47.44,47.44,49.96,46.85,47.99,48.1,43.01,40.84,40.77,44.74,46.85,35.83,43.31,47.74,45.98,51.25,46.03,41.98,42.04,36.62,37.64,43.55,43.63,50.01,46.5,43.02,49.03,49.72,51.51,46.85,49.88,40.26,43.15,40.45,49.21,49.4,54.67,59.15,19524.68,20963.84,22615.94,23871.97,25439.35,25577.52,28510.94,29284.67,30856.01,30381.49,27934.41,25671.52,24912.19,25947.94,26642.11,26721.12,27471.24,28645.04,29680.94,30869.15,28463.79
Guatemala,47.53,47.73,48.76,51.9,52.38,53.97,51.88,48.06,69.64,52.33,31.8,,,,,,,,,,,,,,41.86,39.97,37.25,40.3,39.25,39.49,41.61,46.35,46.2,41.5,45.03,38.68,38.61,45.48,46.35,55.88,54.41,52.39,42.82,52.89,57.68,33.13,31.9,39.2,34.91,35.1,33.03,33.28,27.21,17.84,19.16,21.98,21.51,22.77,22.38,46.75,48.05,42.92,48.61,48.15,50.15,49.26,4763.66,4863.45,5013.51,5124.39,5313.31,5541.98,5894.58,6310.61,6518.39,6476.43,6618.19,6910.88,7204.73,7446.59,7758.49,8194.44,8221.75,8322.22,8665.35,9019.26,8854.2
Haiti,39.19,38.8,40.27,41.07,41.12,39.5,41.15,19.01,43.28,33.74,27,,,,,,,,,,,,,,32.87,32.55,32.57,34.5,33.21,31.25,35.54,31.31,29.38,27.83,27.53,27.64,29.35,31.07,31.31,48.68,54.56,51.43,60.88,55.15,52.48,31.77,32.08,49.66,38.63,28,29.37,32.42,26.3,23.53,25.79,30.12,28.71,20.12,31.29,27.41,29.08,28.69,32.44,27.53,22.26,30.45,2095.54,2098.39,2115.57,2190.73,2185.86,2297.85,2370.15,2528.65,2600.31,2742.47,2628.28,2805.73,2762.44,2872.19,2897.22,2903.36,3025.73,2980.96,3064.16,3028.31,2925.37
Honduras,49.35,48.63,49.1,51.11,52.03,49.87,52.54,48.87,69.64,51.51,37.8,,,,,,,,,,,,,,34.13,34.14,36.52,37.95,38.03,36.2,42.17,44.51,45.02,39.91,40.91,40.94,40.36,45.83,44.51,40.3,54.42,51.33,59.35,54.5,57.61,28.81,28.83,40.15,39.8,31.82,29.93,33.98,27.94,24.31,29.39,26.41,30.33,25.32,32.6,30.46,32.21,31.4,38.76,32.43,30.88,40.85,2591.33,2648.81,2720.27,2824.61,3006.7,3210.35,3443.77,3671.33,3816.84,3674.23,3778.46,3928.27,4032.58,4142.24,4452.59,4823.4,5147.25,5561.99,5816.75,5978.76,5420.56
Hungary,52.36,53.36,55.07,56.47,56.96,69.11,57.12,70.28,84.6,65.01,63.7,61,60.5,55.6,61.8,60.7,66.41,65.17,62.82,60.76,55.05,44,46.79,41.17,45.74,44.97,47.32,47.79,48.8,49.22,52.88,47.76,48.5,45.43,45.85,44.66,44.43,53.5,47.76,34.51,39.39,44.1,36.1,47.42,48.34,47.3,45.63,40.66,46.54,43.86,45.03,46.03,51.26,45.08,51.48,49.76,53.2,50.86,57.5,44.95,51.15,54.73,56.69,55.77,58.35,59.04,11858.33,13213.64,14526.39,15465.37,16230.26,17073.55,18337.21,19041.09,20696.73,20689.05,21716.65,22999.83,23206.26,24498.66,25642.56,26777.47,27911.66,29465.13,31831.98,33956.82,33084.1
Iceland,63.95,64.2,64.6,64.79,65.85,93.48,66.28,76.5,90.51,78.57,72.3,,,,,,,,,,,,,,56.19,56.09,56.02,57.62,59.29,57.3,60.74,58.82,60.75,59.45,59.81,57.92,58.01,63.8,58.82,46,42.35,49.88,43.92,56.02,52.04,62.14,61.24,32.77,35.62,59.72,58.43,65.37,56.63,51.82,58.71,60.26,61.89,55.45,61.26,55.91,60.63,57.78,60.08,60.89,58.61,61.21,29792.05,31889.82,32607.11,32665.54,35586.69,37322.74,39647.23,41413.1,43728.11,41895.01,39805.67,40936.87,42004.45,44409.67,45996.97,49201.06,53480.4,55638.49,58222.34,60081.85,55216.03
India,35.32,35.03,36.08,36.27,36.39,48.35,36.23,31.23,53.58,30.57,27.6,62.4,62.1,63.1,64.1,58.6,60.77,57.16,56.97,58.19,59.08,60.02,62.93,66.02,37.98,37.74,36.93,40.48,39.52,39.49,42.36,30.39,28.75,28.18,32.39,29.63,30.67,35.3,30.39,33.74,37.57,42.36,37.32,44,50.64,39.73,39.27,46.72,45.5,40.86,40.53,37.79,30.76,32.14,34.37,34.45,34.69,32.1,35.68,54.24,54.78,47.97,52.1,48.55,50.13,52.41,2095.65,2206.45,2287.63,2472.1,2695.89,2953.11,3237.29,3525.31,3650.94,3912.42,4236.74,4493.67,4861.16,5057.23,5233.88,5464.86,5839.86,6182.92,6675.36,6997.86,6454.35
Indonesia,47.48,48.45,49.6,50.28,51.94,44.61,52.29,44.36,65.85,46.92,37.8,57.6,53.8,54.9,59.7,57.2,57.07,56.24,59.57,58.21,58.86,48.94,48.68,44.65,46.1,45.24,45.05,44.7,44.91,45.38,47.44,48.44,47.11,44.78,44.67,42.08,42.73,46.78,48.44,37.57,45.14,44.28,45.2,44.45,45.58,39.54,39.4,41.69,49.83,42.56,43.96,43.95,41.11,36.52,33.53,33.9,37.01,41.07,41.79,63.75,65.61,62.57,57.95,58.98,54.72,59.11,4743.94,4956.36,5190.37,5465.26,5816.18,6254.61,6708.58,7229.54,7710.67,8021.75,8505.75,9095.74,9713.9,10067.47,10278.18,10247.21,10494.47,10935.63,11644.76,12311.5,12073.46
Iran,40.62,42.39,42.41,43.03,42.64,59.96,42.73,51.08,66.32,58.16,48,49.4,48.6,49.2,47.2,36,35.81,37.81,40.99,43.33,43.05,23.05,23.94,28.41,36.95,34.62,37.51,40.94,41.66,42.65,45.35,30.23,30.1,34.96,36.88,32.18,34.55,42.21,30.23,26.17,32.18,36.44,43.77,39.25,35.29,30.36,29.76,41.84,43.13,35.03,38.39,43.07,50.22,39.43,38.73,43.56,47.49,45.96,49.97,46.07,47.64,50.01,51.2,54.35,55.08,56.2,10300.53,10484.41,11284.43,12341.61,13070.56,13745.92,14702.96,16150.33,16326.32,16433.26,17388.9,18008.8,15950.1,15273.84,15235.7,13588.47,14011.55,14535.87,13795.32,12913.16,13116.07
Iraq,25.58,25.57,25.47,25.85,25.22,41,25.32,33.39,63.97,43.2,39.5,,,,,,,,,,,,,,32.32,31.37,33.36,30.23,33.12,34.62,33.89,30.66,28.84,33.01,25.26,25.66,25.15,30.57,30.66,31.88,35.29,38.99,41.78,43.31,35.57,31.74,32.62,37.38,46.6,33.54,33.16,31.6,24.07,23.7,24.14,17.82,24.46,26.93,24.38,41.32,39.83,39.82,35.42,38.77,44.57,47.34,11058.47,11162.53,10107.29,6339.84,9731.94,9972.28,10646.22,10953.53,11883.37,12127.63,12717.02,13515.55,15163.35,15535.35,13888.08,9763.9,9428.61,10719.01,10594.62,11012.05,9763.51
Ireland,54.42,55.25,56.34,57.65,58.33,67.11,58.69,74.67,86.6,78.77,72.8,46.4,55.6,54.9,59.8,60.9,67.48,65.01,65.15,62.65,59.02,38.74,40.84,44.04,49.88,50.82,53.95,55.43,55.53,53.62,56.76,49.36,51,54.01,48.79,48.86,46.42,45.41,49.36,46.13,52.67,53.96,48.71,58.39,64.41,55.57,56.2,28.53,33.1,49.06,49.65,52.88,53.97,50.95,55.91,55.78,56.52,47.18,52.24,45.65,49.83,54.77,68.67,66.15,66.46,68.85,30192.31,32560.21,35211.19,36235.06,38683.7,40448.21,44172.72,46730.97,44248.46,41566.74,43316.41,44887.85,46253.47,47885.31,51154.46,69042.77,71697.53,78655.63,84910.55,89431.4,93612.17
Israel,54.07,53.78,54.69,55.04,54.75,62.43,54.64,65.78,78.14,75.01,65.8,,,,,,,,,,,,,,43.74,43.47,45.12,47.22,47.78,47.47,48.9,32.47,31.16,31.88,24.35,24.13,24.88,31.58,32.47,30.84,38.81,41.91,51.93,43.61,44.05,46.21,46.12,47.76,41.47,45.87,47.11,47.2,59.68,54.61,60.03,63.04,64.31,60.79,62.05,50.27,54.63,51.81,61.32,61.37,60.98,59.62,24998.38,24975.34,25284.82,23886.74,25254.73,24854.38,25706.58,27499.18,27462.73,27490.98,28825.65,30486.85,31693.05,34152.3,34267,35475.18,37794.81,38833.97,40343.1,41947.59,41854.93
Italy,63.24,67.49,68.35,69.08,69.53,73.05,68.9,74.36,84.48,76.96,71,47,47.1,48,52.7,55.4,61.26,62.9,61.75,62.98,60.72,59.65,58.69,53.92,46.41,45.92,46.62,49,50.23,49.92,51.61,44.4,44.7,46.42,40.56,40.42,41.06,41.37,44.4,38.46,40.11,50.38,51.53,52.11,54.6,46.62,48.32,35.61,45.36,50.75,52.17,53.16,48.92,44.84,49.31,51.95,53.07,48.82,50.9,50.7,53.28,49.43,52.19,53.49,55.43,58.01,27084.19,28045.86,28736.58,29166.83,29530.22,30130.64,32410.18,34099.79,35523.27,34628.4,35185.29,36598.01,36486.3,36314.7,36194.87,36899.39,39926.95,41581.12,43123.61,44850.93,41839.99
Jamaica,51.97,52.34,52.48,52.81,53.11,58.04,54.36,58.26,77.02,58.58,48.2,,,,,,,,,,,,,,39.58,36.82,37.8,37.28,37.76,38.97,42.5,30.68,28.56,26.22,28.03,30.66,31.15,38.56,30.68,46.32,53.82,47.73,42.14,50.68,55.18,41.28,40.63,50.68,36.19,33.64,34.5,38.55,43.31,29.14,40.15,33.77,34.02,33.77,38.29,39.1,39.44,34.94,44.89,40.49,44.74,41.91,6355.85,6533.37,6723.68,7056.15,7300.06,7553.2,7965.48,8255.17,8306.5,7966.13,7900.2,8159.88,8187.19,8442.98,8545.1,8792.06,9194.16,9600.1,9968.59,10190.47,9221.59
Japan,59.68,62.14,62.46,63.04,63.26,72.54,63.36,72.35,80.59,74.69,75.1,46.9,47.1,50.9,53.1,51.1,52.1,47.21,45.07,37.23,35.93,35.76,40.63,39.03,53.33,52.06,51.95,52.8,52.32,51.13,52.48,45.66,46.6,44.18,41.39,36.87,37.97,38.42,45.66,29.72,33.65,45.06,47.58,48.29,44.93,55.29,56.82,32.77,32.32,54.25,54.96,57.88,64.75,61.61,65.71,63.24,64.97,62.33,65.72,69.41,65.53,57.82,57.98,58.99,52.08,55.46,26838.69,27472.55,28160.11,28924.68,30348.04,31663.45,33090.2,34501.51,34798.77,33198.62,34986.99,35774.7,37191.39,38974.08,39179.16,40388.55,39964.28,40966.59,41695.64,42197.25,
Jordan,39.73,40.09,40.67,41.42,41.92,56.11,42.16,55.78,72.24,62.2,53.4,,,,,,,,,,,,,,37.94,37.06,38.55,39.55,38.24,37.68,39.52,27.14,24.53,20.22,21.93,20.83,23.86,29.07,27.14,33.63,39.31,43.19,66.62,45.53,47.43,48.25,47.37,37.6,38.48,43.19,43.66,41.42,41.8,41.18,42.55,38.14,34.49,33.18,33.13,39.07,38.58,40.13,51.32,47.35,42.15,46.55,5937.21,6271.09,6611.77,6864.41,7452.62,8043.57,8619.91,9171.45,9565.49,9628.06,9460.29,9402.62,9189.19,9322.3,9181.05,9464.68,9445.92,10003.57,10253.82,10497.3,10355.63
Kazakhstan,34.63,32.98,33.1,32.57,32.54,57.3,32.94,51.07,73.29,54.56,44.7,44.6,40.6,41.4,42.5,38.1,39.96,37.64,37.72,32.97,36.87,28.17,36.47,33.39,44.2,43.11,46.21,45.54,47.21,44.92,47.11,39.43,39.84,46.46,39.81,41.5,42.58,52.3,39.43,22.81,31.38,30.73,49.38,33.63,33.02,47.16,46.22,42.35,42.75,52.3,50.91,49.04,48.02,46.22,49.13,49.29,50.32,41.53,45.47,59.96,60.43,54.44,57.21,59.72,55.95,55.7,7733.79,8985.66,10021.9,11119.89,12428.84,13934.72,15725.35,17384.92,17968.24,17962.83,19225.08,20779.44,22032.17,24504.77,24726.47,23224.12,23818.82,24862.97,26157.66,27466.22,26728.54
Kenya,46.86,48.78,49.18,49.44,49.57,51.39,49.28,36.99,62.49,47.25,34.7,,,,,,,,,,,,,,38.56,37.86,40.95,43.7,43.72,43.37,46.52,36.56,35.79,35.43,36.1,35.12,34.17,35.68,36.56,51.53,58.91,63.17,57.06,66.33,69.55,31.85,32.28,47.43,45.62,36.21,37.9,40.27,35.99,26.76,34.5,39.61,37.83,36.05,38.91,40.69,42.93,43.53,43.42,42.8,42.4,48.19,1617.53,1669.33,1659.38,1693.26,1778.54,1889.79,2016.6,2152.22,2139.16,2166.33,2311.98,2437.88,2530.34,2767.4,3021.43,3361.98,3635.28,4046.23,4304.77,4512.98,4452.21
Kuwait,37.26,36.91,36.61,36.37,36.11,51.13,35.54,63.94,64.41,62.28,53.6,,,,,,,,,,,,,,39.97,39.71,42.14,41.16,36.94,36.37,41.15,36.75,37.34,29.65,30.24,26.91,27.08,35.49,36.75,21.55,33.58,36,44.06,30.64,27.33,54.96,57.53,40.13,38.15,43.67,43.38,50.81,35.89,34.32,38.75,38.82,36.09,30.64,36.69,49.76,47.8,51.5,54.56,47.61,50.12,55.43,56179.3,55943.36,57617.54,68071.05,75700.7,83689.27,88660.52,91473.21,90096.44,79424.38,73965.97,78178.22,82680.41,78058.38,70082.46,47230.66,44685.5,50855.55,51690.57,51962.05,
Kyrgyzstan,46.15,46.32,46.3,46.86,46.73,59.68,46.33,40.63,73.1,54.86,39.8,,,,,,,,,,,,,,42.74,42.85,44.33,45.19,47.19,45.69,46.62,47.97,47.75,45.45,47.21,48.49,47.5,46.03,47.97,37.4,39.39,45.66,43.14,47.25,45.46,43.59,43.55,41.91,34.73,49.51,51.94,51.71,36.59,38.31,45.62,41.76,46.01,40.95,43.74,46.31,47.25,44.02,45.05,45.01,40.81,46.14,1863.74,1987.03,1999.67,2157.27,2342.49,2384.18,2505.47,2766.05,3027.86,3101.34,3085.65,3297.37,3618.15,4042.89,4281.82,4214.83,4681.17,5046.69,5256.4,5480.74,4965.03
Latvia,63.8,65.19,68.59,69.61,70.17,72.51,70.37,64.05,85.71,66.12,61.6,58.1,56.1,57.5,61.9,59.1,58.63,58.73,56.65,61.38,61.2,63.02,68.31,60.75,46.88,48.48,51,54.18,54.35,54.41,58.17,55.08,56.34,60.24,58.38,54.96,56.71,62.08,55.08,38.25,50.09,56.72,57.69,61.07,61.54,44.32,43.81,31.3,33.57,46.8,47.24,51.75,48.86,46.29,44.84,50.51,49.13,44.06,49.43,49.13,57.74,57.8,59.27,59.48,62.96,66.06,8033.31,9036.58,10068.68,11028.41,12239.67,13877.66,15799.45,18185.45,19519.63,16975.88,17656.51,19879.2,21407.52,22812.92,23803.81,24961.35,26710.1,28650.01,30799.43,32002.76,32019.22
Lebanon,47.37,46.73,47.72,47.75,47.71,57.91,47.35,50.15,69.14,61.08,45.4,,,,,,,,,,,,,,38.88,39.63,39.75,36.79,37.06,37.29,37.93,31.55,32.41,28.62,18.36,19.64,20.5,26.48,31.55,30.08,34.58,40.63,49.79,44.42,39.89,48.91,48.01,34.98,44.54,46.93,47.75,44.52,41.54,44.92,47.96,32.34,33.37,33.46,35.94,42.53,42.73,37.4,46.59,41.59,40.33,42.85,8952.12,9146.93,9170.33,9189.07,9668,9955.02,10281.73,11522.56,12819.01,14095.57,14961.73,14669.42,14819.59,14976.78,15029.61,15067.77,15479.82,15987.65,15962.42,15166.98,12288.76
Lithuania,61.89,62.68,64.3,65.1,65.21,68.33,65.5,61.26,85.49,69.33,62.9,55.9,56.2,55.9,59.5,61.4,60.23,60.94,60.07,58.65,59.75,69.2,70.47,66.22,49.1,49.26,51.76,51.76,50.76,50.62,55.87,54.39,54.89,59.59,55.41,51.36,52.35,57.5,54.39,41.4,46.06,53.52,57.92,56.8,62.3,47.56,49.44,57.2,52.06,45.42,48.11,51.2,52.93,47.05,54.43,51.51,49.24,43,48.17,46.43,53.54,50.87,54.17,52.33,52.82,60.18,8449.57,9440.15,10480.72,12055.23,13019.57,14510.53,16461.79,19071.44,20721.01,18130.06,20112.1,22884.82,24703.69,26721.58,28184.47,28834.43,30925.17,33761.87,36346.4,38765,38734.73
Luxembourg,68.82,68,68.18,68.69,69.28,67.83,69.2,83.29,86.58,79.12,82.3,39.2,40.4,42.8,48.3,55.2,59.56,60.27,57.25,62.47,62.86,55.54,59.92,60.91,51.59,52.84,53.78,53.63,53.18,54.45,57.95,45.24,44.72,48.23,42.62,39.75,40.2,46.85,45.24,42.29,49.97,58.62,39.05,63.53,68.28,62.63,62.26,38.59,52.76,56.24,57.22,58.87,60.17,59.33,52.51,52.12,54.54,49.69,51.84,48.17,55.61,55.21,56.37,54.32,61.62,63.92,55365.29,55895.62,58771.51,60043.96,64056.87,68220.06,77928.01,83960.98,86693.9,82321.87,85685.79,92005.02,91622.18,95590.54,101297.58,103722.99,110660.87,112308.17,116644.85,120962.19,118359.53
