Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 
Belgium,53.26,59.29,62.08,62.91,63.25,58.07,63.02,66.61,80.15,77.38,73.3,57.9,55,57.2,61.5,63.8,65.2,64.65,61.89,68.73,62.08,49.6,50.63,45.73,45.42,45.89,48.38,49.94,51.19,51.34,52.13,35.06,35.69,34.76,31.07,30.27,30.27,31.49,35.06,37.96,40.75,50.98,48.79,54.46,47.84,55.22,58.18,54.27,56.58,54.93,56.23,60.5,52.79,48.1,56.9,61.48,62.02,58.01,59.93,44.13,49.54,49.51,52.1,55.81,57.75,60.87,27796.65,28800.52,30282.29,30901,32036.5,33177.89,35212.02,36746.55,37883.33,37777.33,39870.49,40942.37,42290.76,43671.12,44929.69,46200.9,48597.4,50442.27,52662.53,54709.47,51968.19
Benin,49.65,50.37,50.12,50.32,50.5,39.59,50.38,32.42,43.66,38.17,30,,,,,,,,,,,,,,38.82,38.88,38.68,38.34,40.07,39.54,40.79,40.55,38.31,35.63,37.71,40.92,41.09,42.43,40.55,45.53,53.15,59.57,49.22,63.32,55,36.93,36.17,47.84,56.3,34.11,35.99,36.02,28.07,31.66,27.19,26.98,26.88,22.24,24.48,44.72,42.73,44.65,34.32,35.1,35.08,46.01,1759.72,1837.81,1895,1936.88,2015.64,2052.53,2135.26,2258.49,2347.92,2353.63,2364.12,2416.33,2498.5,2669.69,2833.41,2886.83,3004.81,3044.52,3236.67,3426.33,3505.64
Bolivia,54.33,54.64,54.62,54.89,54.42,44.34,54.57,50.48,71.09,55.98,44.3,,,,,,,,,,,,,,44.69,44.05,45.78,45.91,46.01,47.14,50.01,60.73,60.69,56.39,56.8,56.98,56.06,64.09,60.73,47.26,50.67,53.37,61.05,55.4,53.81,33.36,35.46,42.03,50.87,34.62,39.97,43.61,29.81,24.68,37.36,39.81,38.32,35.47,38.59,51.05,52.15,49.53,47.12,44.8,48.82,49.95,3437.62,3504.74,3580.81,3677.64,3863.45,4086.38,4335.38,4575.66,4868.44,4986.46,5167.11,5460.26,5921.65,6624.81,7056.83,7133.87,7499.77,8423.7,8863.35,9093.43,8367.33
Bosnia and Herzegovina,37.91,38.93,38.99,38.67,38.22,55.87,36.76,45.79,63.28,41.84,45.4,,,,,,,,,,,,,,40.49,40.09,45.1,46.2,48.91,49.16,50.47,48.87,50.27,51.56,49.78,53.41,52.63,60.11,48.87,33.4,42.96,44.71,40.5,47.35,42.6,46.44,46.94,52.2,52.97,48.6,49.58,52.47,30.73,24.69,31.42,39.94,42.28,41.56,43.11,40.98,45.13,50.02,47.58,53.27,54.71,54.05,4549.33,4751.16,5136.52,5373.57,6201.11,6479.66,7404.11,8186.57,9028.83,9035.26,9355.43,9976.46,10304.08,11016.56,11433.22,12010.71,13072.13,13753.83,14916.79,15847.13,15611.79
Botswana,48.49,49.35,50.24,51.51,52.71,41.31,53.74,47.6,70.72,51.7,40.4,,,,,,,,,,,,,,37.33,39.5,38.94,38.96,38.68,38.38,42.21,40.56,40.51,35.01,37.56,34.94,31.03,41.58,40.56,38.7,42.07,40.9,61.58,40.95,43.97,28.16,30.49,52.45,56.36,31.04,30.77,35.61,32.07,38.32,42.1,41.43,44.66,40.58,40.29,52.44,49.49,44.28,41.44,42.18,48.55,49.62,8784.19,8830.94,9347.85,9791.03,10144.51,10733.23,11742.5,12780.64,13552.63,12366.55,13352.29,14252.68,13590.52,14707.59,16300.83,15547.16,17260.46,17253.69,18058.06,18528.59,16920.85
Brazil,54.54,57.03,56.1,59.25,60.01,63.41,60.9,52.97,78.9,60.7,51.2,59,61.4,68,70.5,66.9,58.2,55.53,48.51,51.9,52.46,57.86,59.29,55.82,48.22,47.3,46.86,47.64,46.48,46.8,49.05,60.21,61.11,60.24,63.36,58.24,60.08,64.76,60.21,38.65,45.27,51.33,52.2,54.4,52.01,40.8,38.37,53.05,50.25,36.65,35.02,39.85,42.54,41.33,44.85,44.57,42.36,42.29,45.6,58.42,57.02,48.48,41.08,41.78,42.22,43.03,9060.79,9260.77,9568.06,9733.77,10445.34,10988.96,11642.44,12549.93,13312.76,13269.12,14299.55,15040.06,15046.29,15588.73,15718.56,14744.11,14256.16,14524.61,15020.44,15388.23,14836.31
Brunei ,62.16,62.8,62.67,62.21,62.79,60.75,62.49,66.49,67.86,63.57,54.8,,,,,,,,,,,,,,44.8,40.9,46.51,47.21,47.31,45.45,47.04,41.56,45.44,48.63,47.48,46.37,52.14,47.66,41.56,32.48,41.1,45.78,46.52,45.94,42.36,50.25,43.12,48.25,49.77,45.48,44.33,50.17,62.04,41.42,49.92,52.12,54.22,45.67,51.45,41.42,42.02,41.84,42.25,45.37,39.2,43.58,66439.14,68349.93,70717.78,72755.32,73808.32,75214.17,79772.89,81012.99,80036.75,78298.52,80280.02,83935.23,88245.96,83788.51,81371.23,62540.63,56297.23,60994.53,61839.12,64724.13,65661.69
Bulgaria,48.65,55.4,53.03,56.49,55.37,62.53,56.28,64.01,83.4,67.85,57,55.5,52.6,47.5,49.6,51.1,54.27,54.87,54.05,53.85,53.06,45.35,48.11,40.12,42.99,43.82,44.79,47.21,48.23,49.17,51.57,48.94,51.84,57.23,51.89,52.35,53.49,56.08,48.94,26.6,31.94,37.72,52.61,40.44,43.23,47.5,44.99,50.44,44.19,44.1,46.04,47.18,44.18,43.52,44.6,52.13,48.9,45.74,49.43,44.75,52.15,49.44,53.2,55.68,60.16,61.93,6424.76,6961.97,7786.42,8408.36,9193.83,10291.45,11392.88,12795.84,14335.67,14191.57,14879.27,15667.31,16247.49,16588.93,17561.38,18343.11,20019.59,21387.28,22911.3,24579.22,24367.32
Cambodia,52.63,52.61,52.8,53.51,54.46,41.69,55.29,35.44,51.24,43.23,33.6,,,,,,,,,,,,,,41.8,40.54,39.23,40.25,42.04,43.53,45.87,47.98,47.89,46,50.35,49.47,51.06,59.54,47.98,49.26,50.31,49.1,48.73,50.59,53.06,35.04,34.37,59.48,45.51,38.95,39.65,40.01,29.64,25.67,24.05,21.65,25.99,24.66,23.3,47.34,45.54,40.52,42.05,45.58,51.68,53.42,1075.41,1164.58,1237.65,1344.62,1499.09,1723.31,1936.88,2159.62,2314.46,2299.39,2427.24,2611.31,2868.74,3045.59,3185.34,3388.74,3675.04,3928.37,4259.2,4574.4,4422.05
Cameroon,41.85,43.26,42.6,43.32,43.15,44.62,42.97,36.68,57.13,40.81,33.6,,,,,,,,,,,,,,41.49,41.27,43.44,43.23,42.19,44.01,45.98,66.64,64.61,65.37,63.85,63.28,63.98,64.95,66.64,41.25,54.78,59.71,55.48,58.69,60.16,33.5,33.98,38.44,55.53,35.26,39.83,39.33,25.14,24.84,21.74,22.24,19.54,18.65,24.71,42.07,41.67,39.7,35.64,34.18,38.92,40.74,1941.7,2017.01,2079.76,2156.69,2302.12,2357.05,2444.75,2562.26,2629.89,2634.68,2681.89,2773.9,2855.45,3002.61,3185.36,3260.52,3405.06,3554.52,3690.07,3796.31,3772.74
