Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Name,Two_Letter_Country_Code,Country_Number
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,32.39,33.94,37.63,39.60,39.30,37.65,41.30,18.73,19.97,24.86,22.56,25.48,26.97,30.25,18.73,27.82,33.06,37.34,58.94,37.56,42.41,36.05,34.97,49.94,55.95,37.88,36.74,43.33,34.40,38.29,41.02,43.50,42.81,38.40,40.17,44.09,48.66,50.12,53.63,53.73,48.59,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,38.23,39.04,40.18,41.44,42.14,43.95,42.55,25.61,41.77,29.56,29,,,,,,,,,,,,,,37.38,37.41,36.87,38.08,40.69,39.13,43.3,32.03,31.18,24.28,30.41,30.6,30.83,40.14,32.03,40.23,45.58,46.25,51.74,48.75,60.82,39.71,40.84,57.1,58.45,41.25,42.06,41.47,22.07,23.54,21.13,20.97,27.9,18.47,19.87,52.28,51.28,54.17,51.47,55.39,55.54,54.2,1331.55,1403.13,1453.26,1523.8,1620.43,1753.87,1901.72,2065.15,2206.51,2309.56,2439.07,2620.83,2937.63,3143.59,3368.06,3555.51,3848.96,4160.7,4547.48,4954.76,5082.68,BGD,"Population, total",SP.POP.TOTL,48013505,49362834,50752150,52202008,53741721,55385114,57157651,59034250,60918452,62679765,64232486,65531635,66625706,67637541,68742222,70066310,71652386,73463593,75450033,77529040,79639498,81767516,83932132,86142490,88416529,90764180,93187593,95671159,98186350,100695496,103171957,105599125,107983708,110350641,112737684,115169933,117649927,120160571,122682818,125189655,127657862,130088709,132478077,134791598,136986429,139035505,140921154,142660381,144304164,145924795,147575433,149273134,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,Asia,AS,"Bangladesh, People's Republic of",BD,50
Belarus,49.36,49.97,50.54,51.93,53.46,65.37,53.88,67.69,82.3,64.98,53,47.8,49.8,51.4,57.6,56.3,57.98,56.48,54.54,51.18,46.86,56.38,53.31,44.18,47.71,46.79,49.24,48.92,49.7,47.85,48.56,53.32,54.54,58.7,53.73,52.51,52.77,59.67,53.32,30.17,39.45,45.55,61.41,48.95,38.96,46.47,45.93,58.4,47.56,45.72,46.17,52.01,54.65,45.93,45.34,43.21,43.17,38.91,41.69,51.54,57.39,54.44,55.93,58.62,52.43,50.47,5808.36,6248.21,6709.85,7367.19,8489.48,9642.43,10994.77,12317.46,13885.75,14050.88,15349.23,16543.04,18071.51,18948.47,18955.91,18041.24,17725.75,18280.2,19338.67,20098.6,20199.7,BLR,"Population, total",SP.POP.TOTL,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9417849,9398861,Europe,EU,"Belarus, Republic of",BY,112
Belgium,53.26,59.29,62.08,62.91,63.25,58.07,63.02,66.61,80.15,77.38,73.3,57.9,55,57.2,61.5,63.8,65.2,64.65,61.89,68.73,62.08,49.6,50.63,45.73,45.42,45.89,48.38,49.94,51.19,51.34,52.13,35.06,35.69,34.76,31.07,30.27,30.27,31.49,35.06,37.96,40.75,50.98,48.79,54.46,47.84,55.22,58.18,54.27,56.58,54.93,56.23,60.5,52.79,48.1,56.9,61.48,62.02,58.01,59.93,44.13,49.54,49.51,52.1,55.81,57.75,60.87,27796.65,28800.52,30282.29,30901,32036.5,33177.89,35212.02,36746.55,37883.33,37777.33,39870.49,40942.37,42290.76,43671.12,44929.69,46200.9,48597.4,50442.27,52662.53,54709.47,51968.19,BEL,"Population, total",SP.POP.TOTL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11555997,Europe,EU,"Belgium, Kingdom of",BE,56
Belize,,,,,,,,,,,,,,,,,,,,,,,,,45.10,42.34,43.60,43.17,43.62,43.77,48.18,57.28,56.05,55.96,55.49,53.28,55.52,61.18,57.28,49.59,49.78,46.83,57.96,49.38,60.83,36.98,35.79,53.92,46.70,32.39,35.82,37.84,45.51,35.66,37.96,35.69,41.35,33.44,37.94,35.18,34.61,36.90,44.26,41.69,44.69,43.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,49.65,50.37,50.12,50.32,50.5,39.59,50.38,32.42,43.66,38.17,30,,,,,,,,,,,,,,38.82,38.88,38.68,38.34,40.07,39.54,40.79,40.55,38.31,35.63,37.71,40.92,41.09,42.43,40.55,45.53,53.15,59.57,49.22,63.32,55,36.93,36.17,47.84,56.3,34.11,35.99,36.02,28.07,31.66,27.19,26.98,26.88,22.24,24.48,44.72,42.73,44.65,34.32,35.1,35.08,46.01,1759.72,1837.81,1895,1936.88,2015.64,2052.53,2135.26,2258.49,2347.92,2353.63,2364.12,2416.33,2498.5,2669.69,2833.41,2886.83,3004.81,3044.52,3236.67,3426.33,3505.64,BEN,"Population, total",SP.POP.TOTL,2431617,2465865,2502897,2542864,2585961,2632361,2682159,2735308,2791588,2850657,2912338,2976575,3043563,3113681,3187413,3265167,3347169,3433445,3523933,3618519,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,Africa,AF,"Benin, Republic of",BJ,204
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,46.04,46.64,44.97,43.91,44.86,44.41,49.03,67.54,69.53,65.34,55.53,56.90,55.26,66.84,67.54,40.90,34.45,35.56,52.73,37.77,41.46,43.03,43.10,52.53,52.62,43.35,43.79,45.18,27.90,30.17,34.34,33.50,33.89,36.04,36.73,49.40,49.52,48.88,53.48,52.87,49.18,54.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,54.33,54.64,54.62,54.89,54.42,44.34,54.57,50.48,71.09,55.98,44.3,,,,,,,,,,,,,,44.69,44.05,45.78,45.91,46.01,47.14,50.01,60.73,60.69,56.39,56.8,56.98,56.06,64.09,60.73,47.26,50.67,53.37,61.05,55.4,53.81,33.36,35.46,42.03,50.87,34.62,39.97,43.61,29.81,24.68,37.36,39.81,38.32,35.47,38.59,51.05,52.15,49.53,47.12,44.8,48.82,49.95,3437.62,3504.74,3580.81,3677.64,3863.45,4086.38,4335.38,4575.66,4868.44,4986.46,5167.11,5460.26,5921.65,6624.81,7056.83,7133.87,7499.77,8423.7,8863.35,9093.43,8367.33,BOL,"Population, total",SP.POP.TOTL,3656961,3728954,3802996,3879191,3957759,4038865,4122517,4208683,4297522,4389248,4484004,4581752,4682392,4785916,4892294,5001413,5113458,5228253,5344946,5462413,5579932,5697098,5814344,5932812,6054126,6179460,6309129,6442824,6580318,6721117,6864839,7011456,7160917,7312857,7466792,7622334,7779268,7937453,8096761,8257066,8418270,8580244,8742822,8905820,9069044,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,South America,SA,"Bolivia, Republic of",BO,68
Bosnia and Herzegovina,37.91,38.93,38.99,38.67,38.22,55.87,36.76,45.79,63.28,41.84,45.4,,,,,,,,,,,,,,40.49,40.09,45.1,46.2,48.91,49.16,50.47,48.87,50.27,51.56,49.78,53.41,52.63,60.11,48.87,33.4,42.96,44.71,40.5,47.35,42.6,46.44,46.94,52.2,52.97,48.6,49.58,52.47,30.73,24.69,31.42,39.94,42.28,41.56,43.11,40.98,45.13,50.02,47.58,53.27,54.71,54.05,4549.33,4751.16,5136.52,5373.57,6201.11,6479.66,7404.11,8186.57,9028.83,9035.26,9355.43,9976.46,10304.08,11016.56,11433.22,12010.71,13072.13,13753.83,14916.79,15847.13,15611.79,BIH,"Population, total",SP.POP.TOTL,3225664,3288604,3353228,3417573,3478999,3535632,3586630,3632678,3675448,3717476,3760536,3805286,3851153,3897259,3942221,3985107,4025271,4063188,4100355,4138816,4179850,4222479,4265183,4307907,4350566,4392135,4435925,4479516,4509462,4507819,4463422,4369320,4233673,4078940,3936527,3829049,3764419,3736070,3734338,3743353,3751176,3755514,3759389,3762179,3764194,3765332,3765422,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,Europe,EU,Bosnia and Herzegovina,BA,70
Botswana,48.49,49.35,50.24,51.51,52.71,41.31,53.74,47.6,70.72,51.7,40.4,,,,,,,,,,,,,,37.33,39.5,38.94,38.96,38.68,38.38,42.21,40.56,40.51,35.01,37.56,34.94,31.03,41.58,40.56,38.7,42.07,40.9,61.58,40.95,43.97,28.16,30.49,52.45,56.36,31.04,30.77,35.61,32.07,38.32,42.1,41.43,44.66,40.58,40.29,52.44,49.49,44.28,41.44,42.18,48.55,49.62,8784.19,8830.94,9347.85,9791.03,10144.51,10733.23,11742.5,12780.64,13552.63,12366.55,13352.29,14252.68,13590.52,14707.59,16300.83,15547.16,17260.46,17253.69,18058.06,18528.59,16920.85,BWA,"Population, total",SP.POP.TOTL,502733,512688,523777,535692,547870,559996,571957,584098,596946,611297,627714,646350,667096,689906,714701,741346,769982,800532,832467,865073,897860,930412,962859,996124,1031439,1069585,1110948,1154904,1200073,1244484,1286756,1326321,1363541,1399110,1434061,1469173,1504724,1540424,1575827,1610260,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,Africa,AF,"Botswana, Republic of",BW,72
