Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance ,2015 Governance ,2016 Governance ,2017 Governance ,2018 Governance ,2019 Governance ,2020 Governance ,GDP PER CAPITA PER CAPITA 2000 ,GDP PER CAPITA PER CAPITA 2001 ,GDP PER CAPITA 2002 ,GDP PER CAPITA 2003,GDP PER CAPITA 2004 ,GDP PER CAPITA 2005 ,GDP PER CAPITA 2006 ,GDP PER CAPITA 2007 ,GDP PER CAPITA 2008 ,GDP PER CAPITA 2009,GDP PER CAPITA 2010 ,GDP PER CAPITA 2011 ,GDP PER CAPITA 2012 ,GDP PER CAPITA 2013 ,GDP PER CAPITA 2014 ,GDP PER CAPITA 2015 ,GDP PER CAPITA 2016 ,GDP PER CAPITA 2017 ,GDP PER CAPITA 2018 ,GDP PER CAPITA 2019 ,GDP PER CAPITA 2020 ,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Name,Two_Letter_Country_Code,Country_Number
Brazil,54.54,57.03,56.1,59.25,60.01,63.41,60.9,52.97,78.9,60.7,51.2,59,61.4,68,70.5,66.9,58.2,55.53,48.51,51.9,52.46,57.86,59.29,55.82,48.22,47.3,46.86,47.64,46.48,46.8,49.05,60.21,61.11,60.24,63.36,58.24,60.08,64.76,60.21,38.65,45.27,51.33,52.2,54.4,52.01,40.8,38.37,53.05,50.25,36.65,35.02,39.85,42.54,41.33,44.85,44.57,42.36,42.29,45.6,58.42,57.02,48.48,41.08,41.78,42.22,43.03,9060.79,9260.77,9568.06,9733.77,10445.34,10988.96,11642.44,12549.93,13312.76,13269.12,14299.55,15040.06,15046.29,15588.73,15718.56,14744.11,14256.16,14524.61,15020.44,15388.23,14836.31,BRA,"Population, total",SP.POP.TOTL,72179235,74311338,76514329,78772647,81064572,83373533,85696502,88035815,90387079,92746607,95113265,97482928,99859388,102259497,104706193,107216209,109790943,112425392,115121158,117878412,120694012,123570327,126498322,129448815,132383569,135274083,138108915,140891606,143627505,146328305,149003225,151648007,154259382,156849086,159432717,162019889,164614682,167209046,169785253,172318674,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,South America,SA,"Brazil, Federative Republic of",BR,76
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,44.80,40.90,46.51,47.21,47.31,45.45,47.04,41.56,45.44,48.63,47.48,46.37,52.14,47.66,41.56,32.48,41.10,45.78,46.52,45.94,42.36,50.25,43.12,48.25,49.77,45.48,44.33,50.17,62.04,41.42,49.92,52.12,54.22,45.67,51.45,41.42,42.02,41.84,42.25,45.37,39.20,43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,48.65,55.4,53.03,56.49,55.37,62.53,56.28,64.01,83.4,67.85,57,55.5,52.6,47.5,49.6,51.1,54.27,54.87,54.05,53.85,53.06,45.35,48.11,40.12,42.99,43.82,44.79,47.21,48.23,49.17,51.57,48.94,51.84,57.23,51.89,52.35,53.49,56.08,48.94,26.6,31.94,37.72,52.61,40.44,43.23,47.5,44.99,50.44,44.19,44.1,46.04,47.18,44.18,43.52,44.6,52.13,48.9,45.74,49.43,44.75,52.15,49.44,53.2,55.68,60.16,61.93,6424.76,6961.97,7786.42,8408.36,9193.83,10291.45,11392.88,12795.84,14335.67,14191.57,14879.27,15667.31,16247.49,16588.93,17561.38,18343.11,20019.59,21387.28,22911.3,24579.22,24367.32,BGR,"Population, total",SP.POP.TOTL,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6927288,Europe,EU,"Bulgaria, Republic of",BG,100
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,36.84,36.01,36.80,38.52,39.69,40.62,42.44,51.12,49.36,40.59,45.01,46.36,45.24,46.06,51.12,37.42,46.65,50.63,49.95,51.91,55.94,37.29,38.04,48.53,49.38,43.75,43.64,44.30,20.52,16.77,26.35,21.46,20.55,23.44,24.47,38.59,38.48,31.07,32.62,35.88,38.87,41.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burma,,,,,,,,,,,,,,,,,,,,,,,,,45.95,45.34,44.39,45.41,44.37,45.83,45.93,64.81,64.15,59.26,58.69,60.10,61.32,61.09,64.81,45.05,47.42,50.43,54.63,52.44,54.59,35.83,37.61,50.19,47.89,35.98,38.12,38.97,30.52,30.99,30.61,31.27,28.56,30.64,28.19,50.10,48.88,48.04,47.17,45.26,46.61,46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,32.98,33.73,32.84,37.06,35.97,34.53,38.41,41.21,39.97,34.71,40.72,39.85,37.77,44.00,41.21,37.55,45.90,48.65,52.92,50.53,59.96,33.50,32.27,59.99,54.04,35.40,31.28,34.59,16.07,22.80,21.35,25.08,24.94,20.02,22.40,36.77,36.05,28.10,36.44,29.25,33.07,31.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,52.63,52.61,52.8,53.51,54.46,41.69,55.29,35.44,51.24,43.23,33.6,,,,,,,,,,,,,,41.8,40.54,39.23,40.25,42.04,43.53,45.87,47.98,47.89,46,50.35,49.47,51.06,59.54,47.98,49.26,50.31,49.1,48.73,50.59,53.06,35.04,34.37,59.48,45.51,38.95,39.65,40.01,29.64,25.67,24.05,21.65,25.99,24.66,23.3,47.34,45.54,40.52,42.05,45.58,51.68,53.42,1075.41,1164.58,1237.65,1344.62,1499.09,1723.31,1936.88,2159.62,2314.46,2299.39,2427.24,2611.31,2868.74,3045.59,3185.34,3388.74,3675.04,3928.37,4259.2,4574.4,4422.05,KHM,"Population, total",SP.POP.TOTL,5722372,5872968,6028434,6183586,6331443,6467191,6585034,6685961,6779778,6880623,6996576,7139640,7302114,7449233,7533332,7524457,7404687,7196042,6957267,6770393,6693759,6749849,6919803,7170004,7447844,7714894,7960952,8198082,8435909,8691331,8975597,9289298,9623899,9970727,10317901,10656145,10982919,11298594,11600510,11886464,12155241,12405411,12637719,12856171,13066475,13273355,13477705,13679953,13883835,14093605,14312205,14541421,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971,Asia,AS,"Cambodia, Kingdom of",KH,116
Cameroon,41.85,43.26,42.6,43.32,43.15,44.62,42.97,36.68,57.13,40.81,33.6,,,,,,,,,,,,,,41.49,41.27,43.44,43.23,42.19,44.01,45.98,66.64,64.61,65.37,63.85,63.28,63.98,64.95,66.64,41.25,54.78,59.71,55.48,58.69,60.16,33.5,33.98,38.44,55.53,35.26,39.83,39.33,25.14,24.84,21.74,22.24,19.54,18.65,24.71,42.07,41.67,39.7,35.64,34.18,38.92,40.74,1941.7,2017.01,2079.76,2156.69,2302.12,2357.05,2444.75,2562.26,2629.89,2634.68,2681.89,2773.9,2855.45,3002.61,3185.36,3260.52,3405.06,3554.52,3690.07,3796.31,3772.74,CMR,"Population, total",SP.POP.TOTL,5176920,5285015,5398730,5518104,5643039,5773538,5909874,6052419,6201410,6357096,6519754,6689659,6867170,7052847,7247284,7451057,7664398,7887571,8121081,8365560,8621409,8888534,9166813,9456496,9757849,10070806,10395481,10731058,11075423,11425807,11780086,12137912,12499499,12864091,13230978,13599984,13970812,14344444,14723772,15112598,15513944,15928910,16357605,16800869,17259322,17733408,18223677,18730283,19252674,19789922,20341236,20906392,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864,Africa,AF,"Cameroon, Republic of",CM,120
Canada,55.64,56.01,56.7,57.19,58.06,66.44,58.41,73.14,85.06,72.18,71,37.6,38.9,40.7,43.9,46.3,45.16,40.39,38.81,38.74,43.06,33.98,34.26,31.01,50.36,49.93,50.82,51.39,51.07,52.16,51.28,62.19,65,66.47,61.91,61.1,62.03,60.6,62.19,36.36,36.65,47.37,53.42,49.89,37.14,49.42,50.58,50.69,36.41,48.44,48.68,50.77,50,43.53,50.46,49.06,48.68,49.73,55.38,50,54.2,48.08,49.25,48.41,50.49,52.53,29362.95,30214.09,30963.05,32333.48,33911.04,36327.23,38106.36,39555.5,40376.31,38893.72,40114.19,41666.71,42290.97,44298.58,45753.75,44670.08,46472.34,48317.1,50239.99,50660.58,48072.58,CAN,"Population, total",SP.POP.TOTL,17909009,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384,38005238,North America,,Canada,CA,124
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,35.42,34.68,33.62,36.95,35.01,35.28,36.95,65.57,65.19,59.47,60.47,58.70,57.67,58.95,65.57,36.00,40.04,46.31,39.22,48.45,48.77,24.92,26.21,43.44,49.89,27.34,27.68,29.03,19.47,18.32,15.39,15.14,14.34,12.54,13.65,29.48,27.68,27.57,34.16,26.25,30.05,34.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,35.22,35.36,35.67,35.56,35.95,34.37,37.14,49.06,48.05,41.90,43.49,44.61,43.08,48.46,49.06,36.92,46.05,47.54,45.45,49.09,54.83,33.09,33.76,43.05,48.35,36.32,36.49,35.27,16.46,21.35,23.88,24.65,23.85,16.79,18.50,39.09,36.73,33.79,27.92,25.90,26.41,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,53.24,55.14,55.16,55.06,54.54,73.34,55.34,69.93,77.67,57.49,55.3,,,,,,,,,,,,,,43.43,42.11,44.64,44.89,44.85,45.89,50.57,48.87,51.25,52.54,50.52,50.26,51.64,54.24,48.87,37.42,43.02,41.99,45.99,44.37,51.78,32.81,31.64,45.56,51.09,34.52,36,46.56,40.31,33.97,43.42,43.82,45.06,43.63,46.13,57.21,56.27,54.31,53.2,50.66,53.83,54.15,9553.57,9972.65,10333.06,10841.33,11812.63,12746.59,15753.96,16941.83,16501.81,16159.61,18161.81,20342.56,21507.69,22439.27,22786.64,22698.55,23437.59,24470.7,24740.5,25974.73,25067.69,CHL,"Population, total",SP.POP.TOTL,8132988,8303804,8476895,8650390,8821855,8989607,9152848,9312091,9468851,9625304,9783134,9942716,10103675,10265827,10428803,10592310,10756876,10922777,11089165,11254877,11419350,11582020,11743909,11907955,12078137,12257238,12445833,12642917,12847712,13058758,13274617,13495255,13719818,13944934,14166346,14380864,14587367,14786227,14977736,15162801,15342350,15516112,15684413,15849649,16014972,16182713,16354507,16530201,16708255,16886184,17062531,17233584,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,South America,SA,"Chile, Republic of",CL,152
China,41.24,42.97,42.04,41.87,42.06,49,42.24,43,65.1,50.74,37.3,47,45.9,46.6,44.9,44.6,49.03,52.41,51.77,48.6,47.49,45.84,49.6,48.16,48.33,47.21,47.2,48.94,49.99,48.49,50.83,29.78,29.39,34.26,32.08,33.23,33.35,37.85,29.78,28.86,32.73,37.39,48.49,39.7,39.59,44.02,45.6,40.94,46.16,50.14,49.8,53.49,66.3,64.89,62.97,66.7,67.04,61.48,66.25,70.04,67.34,58.88,60.19,60.3,58.11,56.98,2920.56,3210.01,3534.85,3937.31,4425.87,5053.95,5836.57,6810.6,7574.22,8307.85,9253.77,10299.87,11197.6,11923.75,12549.77,12978.77,13572.62,14344.42,15608.97,16772.84,17312,CHN,"Population, total",SP.POP.TOTL,667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1402112000,Asia,AS,"China, People's Republic of",CN,156
Colombia,58.32,59.15,60.56,62.1,62.55,76.77,62.33,50.77,75.93,65.22,52.9,,,,,,,,,,,,,,45.92,45.17,46.73,46.62,46.53,46.66,47.4,58.14,57.46,56.24,62.42,61.5,61.7,62.02,58.14,42.56,50.18,50.47,45.24,50.11,49.84,35.35,34.71,47.18,36.95,31.81,33.97,37.05,44.31,40.2,39.07,38.58,39.23,37.54,35.06,51.35,50.92,54.77,49.19,50.76,49.99,53.04,6690.37,6843.74,7018.08,7319.54,7806.05,8324.75,9035.57,9781.97,10179.24,10258.97,10731.65,11604.1,12018.65,12727.76,13307.42,13265.8,13812.1,14171.32,14865.89,15621.09,14565.37,COL,"Population, total",SP.POP.TOTL,16057714,16567817,17092919,17629978,18175187,18725242,19279734,19837508,20393704,20942453,21480064,22003983,22516429,23024512,23538390,24065502,24608102,25164544,25733669,26312996,26900508,27496608,28101824,28714183,29331230,29951194,30572479,31195417,31822527,32457497,33102569,33758328,34422568,35091272,35758978,36421438,37076387,37723803,38364307,38999468,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,South America,SA,"Colombia, Republic of",CO,170
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,34.77,36.20,36.96,38.06,38.26,37.45,38.55,41.44,40.38,43.00,34.74,35.92,38.20,43.20,41.44,41.75,49.58,50.63,46.98,51.65,50.22,33.41,33.50,41.94,49.09,39.69,38.32,33.96,28.13,31.19,29.73,29.26,27.45,24.25,23.71,34.50,34.17,31.40,36.40,36.75,34.85,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,65.96,68.37,69.33,68.65,68.63,86.4,69.03,58.53,80.03,67.85,52.5,,,,,,,,,,,,,,49.37,47.34,47.42,47.13,48.71,48.8,52.6,50.73,50.68,47.7,47.6,52.21,54.03,54.37,50.73,49.57,51.6,48.81,49.08,53.5,56.91,44.28,42.76,54.96,49.68,37.4,39.51,48.42,50.9,44.46,44.68,45.06,45.7,44.9,42.85,51.12,49.23,50.07,54.76,55.98,52.07,60.46,7838.44,8142.67,8414.66,8805.39,9305.99,9836.96,10727.2,11760.07,12392.29,12219.94,12863.85,13545.93,14321.52,15005.92,16067.33,17090.8,19075,20347.03,20994.4,21792.48,21031.82,CRI,"Population, total",SP.POP.TOTL,1330787,1381187,1433346,1486555,1539942,1592834,1645076,1696742,1747690,1797891,1847394,1896074,1944170,1992522,2042242,2094186,2148681,2205618,2264942,2326460,2389973,2455593,2523358,2593015,2664220,2736719,2810245,2884856,2960932,3039015,3119436,3202083,3286525,3372298,3458829,3545524,3632361,3718952,3803893,3885428,3962369,4034074,4100922,4164053,4225156,4285504,4345421,4404626,4463123,4520739,4577371,4633086,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114,North America,,"Costa Rica, Republic of",CR,188
Cote d'Ivoire,51.36,51.56,52.4,53.08,53.44,54.25,53.55,39.72,59.89,45.25,25.8,,,,,,,,,,,,,,38.91,39.64,42.53,43.92,42.88,42.76,45.28,61.85,64.19,61.93,56.58,51.67,50.81,55.2,61.85,45.04,55.08,57.61,46.54,57.92,59.84,30.78,31.85,43.53,48.39,33.67,35.77,33.69,20.79,17.63,26.23,30.96,28.01,25.44,29.63,36.83,39.5,38.12,41.35,43.15,43.89,48.03,2291.44,2289.13,2236.33,2199.9,2239.76,2300.12,2354.29,2406.78,2460.25,2501.73,2522.37,2404.04,2626.07,2828.4,3127.48,4652.89,4726.98,4830.75,5154.33,5432.99,5458.24,CIV,"Population, total",SP.POP.TOTL,3503559,3631547,3770756,3918630,4071411,4226843,4383723,4544168,4713134,4897470,5102070,5328735,5576026,5841513,6121295,6412409,6713949,7026497,7350269,7685927,8033652,8393689,8764991,9144940,9530103,9918204,10307268,10698188,11094740,11502453,11924873,12362404,12812428,13271638,13735438,14199759,14665125,15130674,15589407,16032573,16454660,16853027,17231539,17599613,17970493,18354513,18754914,19171250,19605568,20059147,20532944,21028652,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,Africa,AF,"Cote d'Ivoire, Republic of",CI,384
Croatia,60.79,60.3,61.08,62.23,63.7,68.65,64.16,62.23,86.98,65.45,63.1,49.7,51.7,47.4,50.2,47.2,56.37,52.79,56.35,58.43,60.66,61.19,62.39,56.97,46.73,47.92,51,53.37,54.4,54.23,57.18,52.59,53.46,55.15,54.73,56.69,57.05,61.09,52.59,37.95,45.6,55.79,52.26,59.8,57.7,52.6,52.12,35.46,41.68,46.74,47.21,52.28,46.63,44.78,50.76,52.93,52.33,48.54,50.91,45.9,51.32,50.97,56.69,57.28,58.53,63.92,10587.43,11550.99,12646.83,13549.79,14533.25,15300.61,17421.01,19318.72,20768.81,20009.63,19814.6,20804.39,21168.85,21820.52,22060.74,23005.1,24876.31,26800.12,28554.39,30245.98,28503.88,HRV,"Population, total",SP.POP.TOTL,4140181,4167292,4196712,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047200,Europe,EU,"Croatia, Republic of",HR,191
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,39.82,41.15,45.77,43.02,43.88,42.99,45.61,39.88,39.26,42.17,36.26,36.56,36.83,39.96,39.88,34.40,41.95,40.23,40.12,42.05,54.42,41.90,38.34,34.65,42.54,39.41,38.99,44.10,35.84,44.22,49.78,45.03,44.40,40.98,39.25,49.78,49.54,52.13,55.29,56.88,56.11,50.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,56.24,56.62,57.25,56.9,57.04,56.26,57.15,66.23,80.24,72.6,64.8,46,43.2,46.6,53,54,60.94,57.61,66.99,65.12,64.28,52.29,44.34,41.66,42.24,42.03,41.23,42.28,44.14,45.84,47.56,31.32,29.64,24.71,20.43,26.59,28.11,31.82,31.32,38.03,44.36,47.19,48.98,51.44,45.38,52.63,50.88,33.4,46.16,50.01,50.94,53.61,46.47,43.23,43.65,44.01,43.42,46.61,48.22,42.84,48.35,44.11,49.59,49.18,52.09,58.78,21297.77,22871.72,23556.32,24254.8,25923.23,27763.23,29975.32,32841.72,34830.12,33909.73,33449.09,33313.47,31834.72,30375.12,30080.3,31815.14,35719.07,38050.86,40476.39,41514.51,38458.19,CYP,"Population, total",SP.POP.TOTL,572933,576402,577696,577918,578628,580972,585313,591301,598495,606121,613618,620860,628002,635105,642322,649753,657524,665521,673253,680010,685408,689170,691716,694076,697715,703694,712335,723384,736476,751043,766616,783121,800610,818750,837104,855391,873426,891190,908710,926049,943288,960274,976968,993562,1010410,1027657,1045508,1063708,1081568,1098089,1112617,1124837,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,Europe,EU,"Cyprus, Republic of",CY,196
Czech Republic,60.52,60.92,61.85,63.55,64.53,71.62,64.79,81.47,84.67,67.68,71,51.9,55,54.6,57.5,50.4,59.13,53.93,57.99,57.03,58.52,45.13,49.73,42.93,47.01,48.65,50.82,52.66,52.28,53.14,55.17,45.65,47.08,43.03,37.93,38.03,35.56,48.64,45.65,31.52,39.62,50.32,53.52,53.3,40.02,52.34,54.8,47.82,37.88,50.86,52.04,56.6,58.22,54.55,57.13,56.97,54.84,58.53,61.21,47.3,55.28,61.25,67.8,65.04,66.26,69.36,16242.54,17628.68,18252.57,19517.94,20914.73,22095.39,23891.7,26250.48,27974.49,27781.94,27903.26,29001.37,29254.73,30818.11,32502.48,33899.29,36097.71,38824.89,41134.09,43005.55,41737.42,CZE,"Population, total",SP.POP.TOTL,9602006,9586651,9624660,9670685,9727804,9779358,9821040,9852899,9876346,9896580,9858071,9826815,9867632,9922266,9988459,10058620,10125939,10186755,10242098,10292341,10304193,10300591,10314826,10323856,10330213,10337118,10342227,10347318,10355276,10361068,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10698896,Europe,EU,Czech Republic,CZ,203
Democratice Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,41.38,40.65,43.55,41.92,41.14,41.71,44.48,74.64,71.64,70.94,66.94,66.25,66.56,65.25,74.64,45.28,58.17,60.01,39.61,61.13,70.05,26.32,28.44,34.77,36.58,30.28,31.24,32.83,18.33,17.93,20.16,19.05,16.21,12.29,16.31,42.47,39.96,39.94,34.28,31.82,37.34,37.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,60.88,61.38,62.02,62.17,63.55,69.15,63.61,76.92,89.21,81.6,82.5,57.3,60.6,57,54.6,63.9,72.61,75.23,77.76,71.19,61.87,59.49,61.96,71.14,51.61,52.73,56.03,57.18,57.21,56.96,61,49.16,50.4,51.02,49.74,46.23,46.82,51.41,49.16,42.11,48.72,55.84,43.21,59.81,65.65,63.14,63.33,51.08,45.45,54.75,55.27,57.82,58.13,55.24,62.88,66.45,67.56,63.6,67.04,46.92,52.57,57.17,58.85,59.25,59.28,63.06,28670.59,29450.04,30640.35,30788.62,32911.4,34150.16,37284.45,38958.86,41278.33,40361.1,43035.89,44403.38,44803.97,46726.85,47901.45,49045.34,51976.01,55356.68,57462.78,60334.81,60398.45,DNK,"Population, total",SP.POP.TOTL,4579603,4611687,4647727,4684483,4722072,4759012,4797381,4835354,4864883,4891860,4928757,4963126,4991596,5021861,5045297,5059862,5072596,5088419,5104248,5116801,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129516,5132594,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,Europe,EU,"Denmark, Kingdom of",DK,208
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,32.09,33.93,34.03,37.04,37.89,38.03,41.41,37.07,36.17,34.62,36.05,37.17,38.70,42.81,37.07,34.80,41.96,50.52,51.37,51.16,50.32,32.38,31.69,49.63,48.41,32.04,35.42,35.98,20.23,26.96,24.56,24.74,25.68,26.16,33.94,39.46,40.06,40.35,40.90,43.39,38.73,43.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,45.23,42.02,41.45,42.87,42.97,41.12,45.28,49.23,47.46,45.20,41.60,40.52,44.32,47.57,49.23,41.77,43.42,47.81,51.90,49.98,56.45,44.36,42.18,44.74,41.09,37.78,35.29,38.57,43.83,34.07,35.46,35.14,37.02,29.60,33.23,44.54,44.61,43.92,51.95,49.72,46.40,50.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,50.7,51.8,52.72,52.56,52.51,68.44,52.44,53.24,75.32,64.71,46.3,,,,,,,,,,,,,,38.42,38.16,41.44,40.52,40.69,40.78,44.46,46.04,46.04,46.31,38.76,40.94,42.03,45.44,46.04,32.92,36.74,40.98,45.11,44.24,46.56,35.56,36.56,38.14,39.44,36.15,34.6,41.05,32.39,31.08,37.83,35.06,31.86,30.64,32.99,42.11,44.21,48.97,50.96,51.82,52.39,56.27,6760.13,6973.54,7295.06,7226.72,7506.73,8356.01,9274.9,10098.7,10491.62,10539.4,11410.35,11869.12,11900.49,12482.16,13475.01,14740.83,16109.86,16735.36,18137.05,19191.58,17936.73,DOM,"Population, total",SP.POP.TOTL,3294222,3406282,3521018,3638110,3757123,3877768,3999796,4123100,4247559,4373127,4499722,4627202,4755464,4884460,5014187,5144632,5275767,5407496,5539596,5671801,5803929,5935895,6067769,6199657,6331760,6464229,6596967,6729930,6863438,6997877,7133491,7270413,7408339,7546467,7683707,7819239,7952766,8084407,8214427,8343288,8471317,8598599,8724974,8850317,8974444,9097262,9218681,9338856,9458079,9576736,9695117,9813219,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904,North America,,Dominican Republic,DO,214
